Time,Latitude,Longitude
0,30.31811504304027,120.0266095188427
1,30.31782882576042,120.0266105383662
2,30.31757666262513,120.0266279171053
3,30.31734216154888,120.0266615212209
4,30.3170785815316,120.0266622440129
5,30.31684792556137,120.0266791579326
6,30.31674089223359,120.0266794221892
7,30.31652797462827,120.026679947859
8,30.31634668281781,120.0266803954412
9,30.31622643598597,120.026680692309
10,30.31595766130001,120.0266813558551
11,30.31573555048157,120.0267138592835
12,30.31547121951477,120.0267143674171
13,30.31525276114806,120.0267147873602
14,30.31515136925277,120.0266833463297
15,30.31490661355427,120.0266997016358
16,30.3145645729653,120.026700452539
17,30.31443735112802,120.026700731832
18,30.3142265665441,120.0267167599212
19,30.31401733122976,120.0267481785059
20,30.31375448908031,120.0267485401274
21,30.31356236711708,120.0267488044466
22,30.31330371281688,120.0267797868906
23,30.31306084695167,120.0267647413828
24,30.31280676364906,120.0267801991074
25,30.31264747261393,120.0267500630957
26,30.31243650394931,120.0267503533195
27,30.31220107703538,120.0267656893446
28,30.31189027824872,120.0267809592896
29,30.31162119514038,120.0267811824723
30,30.31144327258886,120.0267813300424
31,30.31122878152069,120.0267815079402
32,30.31100351463053,120.0267816947725
33,30.31084198657356,120.0267818287392
34,30.31068142692424,120.0267965590782
35,30.31041188991819,120.0268257561807
36,30.31020546017186,120.0268112910666
37,30.30998862946567,120.0268257604884
38,30.30982120467796,120.0268257621929
39,30.30970226404422,120.026825763404
40,30.30960750103292,120.0268543722666
41,30.31863713053163,120.0294095344739
42,30.31848028865737,120.0294720365014
43,30.31834774987793,120.0295188556107
44,30.31820430508908,120.0295784570657
45,30.31804414845665,120.0296182995442
46,30.31792660026903,120.0296746839755
47,30.31781118269655,120.0297237176387
48,30.31767292738832,120.0297789761944
49,30.31751339270898,120.029846110089
50,30.31742319805521,120.0298977481927
51,30.31732843082095,120.0299244120157
52,30.31722934167907,120.0299809651675
53,30.31710348305988,120.0300310102222
54,30.31701917063607,120.0300737015767
55,30.31691955554783,120.0301041449572
56,30.31682700590676,120.0301457191255
57,30.31666720180562,120.0302384919124
58,30.31654247957751,120.0302664992883
59,30.31638034391172,120.0303159992865
60,30.31624710360952,120.0303589295829
61,30.31615522948157,120.0303905677401
62,30.31604604122234,120.0304593932525
63,30.31594361294193,120.0304946547076
64,30.3158385803302,120.0305611468609
65,30.31575334841192,120.0306005967308
66,30.31566946881707,120.0306236584707
67,30.31553117010068,120.0306543146429
68,30.3153963340975,120.0306779289378
69,30.31529202990158,120.0306925803119
70,30.31520619409886,120.0307136823165
71,30.31512132168943,120.0307191289352
72,30.31501240846651,120.030741424359
73,30.31492147864386,120.0307547723598
74,30.31481543929479,120.0307765170669
75,30.3147188947345,120.0307824643918
76,30.31465523508356,120.0307938552509
77,30.31455296526755,120.0308149360919
78,30.314398407221,120.0308388931166
79,30.31430725040373,120.030844274066
80,30.31415788571861,120.030867518122
81,30.31407706861801,120.0308793775864
82,30.31390392805509,120.0308822477299
83,30.31375591902982,120.0308908322031
84,30.31362472015934,120.0308984416392
85,30.31351617329872,120.030863435466
86,30.31342261846557,120.0308418080403
87,30.31328472023961,120.0308572795503
88,30.31318795915346,120.0308633392545
89,30.31294291584651,120.030878685063
90,30.31280870008777,120.0308870902286
91,30.31267135787299,120.0309021403807
92,30.31258337861661,120.0309140087338
93,30.31247941770507,120.0309204121949
94,30.31234347561272,120.0309476275054
95,30.31218860693106,120.0309569276234
96,30.31206965166,120.0309640710328
97,30.31196879068395,120.0309762158584
98,30.31180783491407,120.0309918038609
99,30.31169121547585,120.0310046322764
100,30.31158675035039,120.0310048526376
101,30.31147931753052,120.0310170298308
102,30.31137388107326,120.0310347629259
103,30.31120804377756,120.0310458115088
104,30.31110099169193,120.0310542770194
105,30.31095337687692,120.0310659500916
106,30.31086314293955,120.0310730855603
107,30.31076855774153,120.0310805650806
108,30.31070450385016,120.0310856302543
109,30.31055616550584,120.0310973603054
110,30.31043939646006,120.0311065939104
111,30.31025056386322,120.0311369262326
112,30.3101096135623,120.0311529153928
113,30.3099976740315,120.0311665401283
114,30.30991784867341,120.0311726470079
115,30.30989315437299,120.0310804919426
116,30.30989314292645,120.0310161469641
117,30.30988821114518,120.0309522925156
118,30.30987346536476,120.0308697891059
119,30.3098734469542,120.0307660604369
120,30.30984897821338,120.0306704369779
121,30.30984896251702,120.0305817537042
122,30.30981976415546,120.0304679169859
123,30.30981974769,120.0303745925778
124,30.30981973035431,120.0302763566671
125,30.30980518752838,120.0301611380738
126,30.30980516937549,120.0300581481069
127,30.30978585892782,120.0299689030087
128,30.30978584342629,120.029880804868
129,30.30978582447482,120.0297731297308
130,30.30977138889658,120.0296835168723
131,30.30977136999265,120.0295760054963
132,30.30977134936315,120.029458720859
133,30.30974739552895,120.0293576558492
134,30.30974738354756,120.0292894125627
135,30.30971880076626,120.0291855340256
136,30.30971879140184,120.0291320759522
137,30.30970455987487,120.0290537627537
138,30.3097045454358,120.0289712704182
139,30.30970322042501,120.0288224860705
140,30.30969717909329,120.0287135951991
141,30.30969715827464,120.0285861748531
142,30.30968510886391,120.0284718619792
143,30.30967908498266,120.0283693383319
144,30.30966107166883,120.028219653234
145,30.30965506565189,120.0280932360942
146,30.30965504791982,120.0279843660638
147,30.30965502624269,120.0278513029847
148,30.30964305020584,120.0277198888221
149,30.30963705950538,120.0275878297944
150,30.30961321450922,120.0274526827931
151,30.30961319393328,120.0273260700203
152,30.3096012944081,120.0272015679247
153,30.30960126798421,120.0270389276409
154,30.30960124252842,120.0268823114678
